Row Labels,Number of Candidates
U. S. Senator-NA-2016,24
Presidential Electors-NA-2016,13
Constable-Justice of the Peace Ward 4-2014,13
Constable-Justice of the Peace Ward 5-2014,13
U. S. Representative-3rd Congressional District-2016,12
U. S. Representative-6th Congressional District-2014,12
"Mayor-President-Metro Council, City of Baton Rouge-2016",12
Constable-Justice of the Peace Ward  7-2014,11
Justice of the Peace-Justice of the Peace Ward  6-2014,9
U. S. Representative-5th Congressional District-2014,9
Justice of the Peace-Justice of the Peace Ward  5-2014,9
Justice of the Peace-Justice of the Peace Ward  7-2014,9
Justice of the Peace-Justice of the Peace District 1-2014,8
U. S. Representative-4th Congressional District-2016,8
U. S. Senator-NA-2014,8
Constable-Justice of the Peace Ward  9-2014,8
Constable-Justice of the Peace District 2-2014,8
Constable-Justice of the Peace Ward  6-2014,8
Constable-Justice of the Peace Ward  2-2014,8
Mayor-City of Shreveport-2014,7
Justice of the Peace-Justice of the Peace Ward 2-2014,7
Justice of the Peace-Justice of the Peace District  4-2014,7
U. S. Representative-1st Congressional District-2016,7
"City Marshal-City Court, City of Hammond-2014",7
Constable-Justice of the Peace Ward  5-2014,7
Justice of the Peace-Justice of the Peace Ward 6-2014,6
Mayor-Town of Benton-2016,6
Justice of the Peace-1st Justice Court-2014,6
"Judge-Juvenile Court, Section E-2014",6
Justice of the Peace-Justice of the Peace District 4-2014,6
Councilman-Metro District 12-2016,6
"Judge-1st Parish Court, Division B-2014",6
U. S. Representative-6th Congressional District-2016,6
Justice of the Peace-Justice of the Peace Ward  8-2014,6
Justice of the Peace-Justice of the Peace Ward 1-2014,6
Constable-Justice of the Peace Ward 6-2014,6
Constable-Justice of the Peace Ward 3-2014,6
Constable-Justice of the Peace Ward 2-2014,6
Chief of Police-Town of Baldwin-2014,6
"City Marshal-City Court, City of Houma-2014",6
Constable-Justice of the Peace Ward  1-2014,6
Constable-Justice of the Peace District  1-2014,6
Constable-Justice of the Peace Ward 1-2014,6
Constable-2nd Justice Court-2014,6
"Councilman-District E, City of Bogalusa-2014",5
Justice of the Peace-Justice of the Peace Ward 11-2014,5
Councilman-Metro District  5-2016,5
Mayor-City of Alexandria-2014,5
"District Judge-19th Judicial District Court, ES 2, Div. M-2014",5
Mayor-City of Kenner-2016,5
Councilman-Metro District  9-2016,5
Justice of the Peace-2nd Justice Court-2014,5
Councilman-Metro District 10-2016,5
Councilman-Metro District  7-2016,5
Justice of the Peace-Justice of the Peace District  5-2014,5
Justice of the Peace-Justice of the Peace District 2-2014,5
"Council Member-Division B, City of Westlake-2014",5
Parish President-NA-2014,5
Parish President-NA-2016,5
Justice of the Peace-Justice of the Peace Ward  9-2014,5
Constable-Justice of the Peace Ward 8-2014,5
"City Marshal-City Court, City of Pineville-2014",5
"Alderman-District B, Town of Farmerville-2016",5
Constable-Justice of the Peace District 3-2014,5
Constable-Justice of the Peace Ward C-2014,5
Alderman at Large-City of Opelousas-2014,5
"City Marshal-City Court, City of Alexandria-2014",5
Chief of Police-Town of Kentwood-2014,5
"Alderman-District E, City of Opelousas-2014",5
Constable-Justice of the Peace Ward  4-2014,5
"City Marshal-City Court, City of Shreveport-2014",5
Chief of Police-Town of Pearl River-2014,5
Chief of Police-City of Eunice-2014,5
"City Judge-City Court, City of New Iberia-2014",5
Chief of Police-City of Rayne-2014,5
